File: /tmp/root_pt_sv39.bin
Size: 4096 bytes (512 PTEs)
================================================================================
Index |          PTE (hex) |  Physical Addr |                      Type | Flags
  393 | 0x0000000020129001 | 0x0000804a4000 |   POINTER → next level PT | 
  394 | 0x0000000020129401 | 0x0000804a5000 |   POINTER → next level PT | 
  395 | 0x0000000020129801 | 0x0000804a6000 |   POINTER → next level PT | 
  396 | 0x0000000020129c01 | 0x0000804a7000 |   POINTER → next level PT | 
  397 | 0x000000002012a001 | 0x0000804a8000 |   POINTER → next level PT | 
  398 | 0x000000002012a401 | 0x0000804a9000 |   POINTER → next level PT | 
  399 | 0x000000002012a801 | 0x0000804aa000 |   POINTER → next level PT | 
  400 | 0x000000002012ac01 | 0x0000804ab000 |   POINTER → next level PT | 
  401 | 0x000000002012b001 | 0x0000804ac000 |   POINTER → next level PT | 
  402 | 0x000000002012b401 | 0x0000804ad000 |   POINTER → next level PT | 
  403 | 0x000000002012b801 | 0x0000804ae000 |   POINTER → next level PT | 
  404 | 0x000000002012bc01 | 0x0000804af000 |   POINTER → next level PT | 
  405 | 0x000000002012c001 | 0x0000804b0000 |   POINTER → next level PT | 
  406 | 0x000000002012c401 | 0x0000804b1000 |   POINTER → next level PT | 
  407 | 0x000000002012c801 | 0x0000804b2000 |   POINTER → next level PT | 
  408 | 0x000000002012cc01 | 0x0000804b3000 |   POINTER → next level PT | 
  409 | 0x000000002012d001 | 0x0000804b4000 |   POINTER → next level PT | 
  410 | 0x000000002012d401 | 0x0000804b5000 |   POINTER → next level PT | 
  411 | 0x000000002012d801 | 0x0000804b6000 |   POINTER → next level PT | 
  412 | 0x000000002012dc01 | 0x0000804b7000 |   POINTER → next level PT | 
  413 | 0x000000002012e001 | 0x0000804b8000 |   POINTER → next level PT | 
  414 | 0x000000002012e401 | 0x0000804b9000 |   POINTER → next level PT | 
  415 | 0x000000002012e801 | 0x0000804ba000 |   POINTER → next level PT | 
  416 | 0x000000002012ec01 | 0x0000804bb000 |   POINTER → next level PT | 
  417 | 0x000000002012f001 | 0x0000804bc000 |   POINTER → next level PT | 
  418 | 0x000000002012f401 | 0x0000804bd000 |   POINTER → next level PT | 
  419 | 0x000000002012f801 | 0x0000804be000 |   POINTER → next level PT | 
  420 | 0x000000002012fc01 | 0x0000804bf000 |   POINTER → next level PT | 
  421 | 0x0000000020130001 | 0x0000804c0000 |   POINTER → next level PT | 
  422 | 0x0000000020130401 | 0x0000804c1000 |   POINTER → next level PT | 
  423 | 0x0000000020130801 | 0x0000804c2000 |   POINTER → next level PT | 
  424 | 0x0000000020130c01 | 0x0000804c3000 |   POINTER → next level PT | 
  425 | 0x0000000020131001 | 0x0000804c4000 |   POINTER → next level PT | 
  426 | 0x0000000020131401 | 0x0000804c5000 |   POINTER → next level PT | 
  427 | 0x0000000020131801 | 0x0000804c6000 |   POINTER → next level PT | 
  428 | 0x0000000020131c01 | 0x0000804c7000 |   POINTER → next level PT | 
  429 | 0x0000000020132001 | 0x0000804c8000 |   POINTER → next level PT | 
  430 | 0x0000000020132401 | 0x0000804c9000 |   POINTER → next level PT | 
  431 | 0x0000000020132801 | 0x0000804ca000 |   POINTER → next level PT | 
  432 | 0x0000000020132c01 | 0x0000804cb000 |   POINTER → next level PT | 
  433 | 0x0000000020133001 | 0x0000804cc000 |   POINTER → next level PT | 
  434 | 0x0000000020133401 | 0x0000804cd000 |   POINTER → next level PT | 
  435 | 0x0000000020133801 | 0x0000804ce000 |   POINTER → next level PT | 
  436 | 0x0000000020133c01 | 0x0000804cf000 |   POINTER → next level PT | 
  437 | 0x0000000020134001 | 0x0000804d0000 |   POINTER → next level PT | 
  438 | 0x0000000020134401 | 0x0000804d1000 |   POINTER → next level PT | 
  439 | 0x0000000020134801 | 0x0000804d2000 |   POINTER → next level PT | 
  440 | 0x0000000020134c01 | 0x0000804d3000 |   POINTER → next level PT | 
  441 | 0x0000000020135001 | 0x0000804d4000 |   POINTER → next level PT | 
  442 | 0x0000000020135401 | 0x0000804d5000 |   POINTER → next level PT | 
  443 | 0x0000000020135801 | 0x0000804d6000 |   POINTER → next level PT | 
  444 | 0x0000000020135c01 | 0x0000804d7000 |   POINTER → next level PT | 
  445 | 0x0000000020136001 | 0x0000804d8000 |   POINTER → next level PT | 
  446 | 0x0000000020136401 | 0x0000804d9000 |   POINTER → next level PT | 
  447 | 0x0000000020136801 | 0x0000804da000 |   POINTER → next level PT | 
  448 | 0x0000000020136c01 | 0x0000804db000 |   POINTER → next level PT | 
  449 | 0x0000000020137001 | 0x0000804dc000 |   POINTER → next level PT | 
  450 | 0x0000000020137401 | 0x0000804dd000 |   POINTER → next level PT | 
  451 | 0x0000000020137801 | 0x0000804de000 |   POINTER → next level PT | 
  452 | 0x0000000020137c01 | 0x0000804df000 |   POINTER → next level PT | 
  453 | 0x0000000020138001 | 0x0000804e0000 |   POINTER → next level PT | 
  454 | 0x0000000020138401 | 0x0000804e1000 |   POINTER → next level PT | 
  455 | 0x0000000020138801 | 0x0000804e2000 |   POINTER → next level PT | 
  456 | 0x0000000020138c01 | 0x0000804e3000 |   POINTER → next level PT | 
  457 | 0x0000000020139001 | 0x0000804e4000 |   POINTER → next level PT | 
  458 | 0x0000000020139401 | 0x0000804e5000 |   POINTER → next level PT | 
  459 | 0x0000000020139801 | 0x0000804e6000 |   POINTER → next level PT | 
  460 | 0x0000000020139c01 | 0x0000804e7000 |   POINTER → next level PT | 
  461 | 0x000000002013a001 | 0x0000804e8000 |   POINTER → next level PT | 
  462 | 0x000000002013a401 | 0x0000804e9000 |   POINTER → next level PT | 
  463 | 0x000000002013a801 | 0x0000804ea000 |   POINTER → next level PT | 
  464 | 0x000000002013ac01 | 0x0000804eb000 |   POINTER → next level PT | 
  465 | 0x000000002013b001 | 0x0000804ec000 |   POINTER → next level PT | 
  466 | 0x000000002013b401 | 0x0000804ed000 |   POINTER → next level PT | 
  467 | 0x000000002013b801 | 0x0000804ee000 |   POINTER → next level PT | 
  468 | 0x000000002013bc01 | 0x0000804ef000 |   POINTER → next level PT | 
  469 | 0x000000002013c001 | 0x0000804f0000 |   POINTER → next level PT | 
  470 | 0x000000002013c401 | 0x0000804f1000 |   POINTER → next level PT | 
  471 | 0x000000002013c801 | 0x0000804f2000 |   POINTER → next level PT | 
  472 | 0x000000002013cc01 | 0x0000804f3000 |   POINTER → next level PT | 
  473 | 0x000000002013d001 | 0x0000804f4000 |   POINTER → next level PT | 
  474 | 0x000000002013d401 | 0x0000804f5000 |   POINTER → next level PT | 
  475 | 0x000000002013d801 | 0x0000804f6000 |   POINTER → next level PT | 
  508 | 0x000000002011c001 | 0x000080470000 |   POINTER → next level PT | 
  509 | 0x000000002011c401 | 0x000080471000 |   POINTER → next level PT | 
  510 | 0x000000003ff7dc01 | 0x0000ffdf7000 |   POINTER → next level PT | 
================================================================================
Summary: 207 valid entries (207 pointers, 0 leaf mappings)
         305 empty entries
